algorithm,original,reordered,model,size,column,value,rank_utils,gpt-3.5-turbo_error
warmup,"[14288  5015 16159 45116 16748 29690 27217 33582 27961 14983  6095  3160
 30812  3123 47496 25715  2236 19640 20216 43326 32373 21596 43493  2345
 26994 32622 11875 17822 11590 24130 11755 40016 30388 28533  8187 30020
 27218 20093  6315  3040 13756 27437 16033 20761  7908 15133  6395 45872
 39911  8071]","[32373, 20093, 20093, 14288, 5015, 16159, 45116, 16748, 29690, 27217, 33582, 27961, 14983, 6095, 3160, 30812, 3123, 47496, 25715, 2236, 19640, 20216, 43326, 21596, 43493, 2345, 26994, 32622, 11875, 17822, 11590, 24130, 11755, 40016, 30388, 28533, 8187, 30020, 27218, 6315, 3040, 13756, 27437, 16033, 20761, 7908, 15133, 6395, 45872]",mistral:7b,50,workclass,State-gov,1.8333333333333333,0.4
bigraph,"[45872 39911 27218 24130  3123 45116  6395  2345 11755 43493 40016 11590
 21596 28533 17822 30388 11875  2236 16033 19640 14288 29690 43326 30812
 27217  6315  7908 13756 30020 27437 27961  8187 20216  8071 33582  3040
 25715 20761 26994  6095 16748  5015 20093 15133  3160 14983 47496 32373
 16159 32622]","[20093, 32373, 3123, 30812, 45872, 39911, 27218, 24130, 45116, 6395, 2345, 11755, 43493, 40016, 11590, 21596, 28533, 17822, 30388, 11875, 2236, 16033, 19640, 14288, 29690, 43326, 27217, 6315, 7908, 13756, 30020, 27437, 27961, 8187, 20216, 8071, 33582, 3040, 25715, 20761, 26994, 6095, 16748, 5015, 15133, 3160, 14983, 47496, 16159, 32622]",mistral:7b,50,workclass,State-gov,1.5,-0.1
random,"[35261 11973 19790 20699  5500  5681 35579  5131  6261  4702 22351 17758
 29069 24615 14112  8943 15048 28755 46984 16158 20328 42636 35702 47453
 46654 34875 16794 32100  2445 42881 26128 33136 14236 34406 45217 43178
 41303 16171 12613 14846 42791 43371 42222 34211  3139 20856 42712 34649
 38369 28129]","[35261 11973 19790 20699  5500  5681 35579  5131  6261  4702 22351 17758
 29069 24615 14112  8943 15048 28755 46984 16158 20328 42636 35702 47453
 46654 34875 16794 32100  2445 42881 26128 33136 14236 34406 45217 43178
 41303 16171 12613 14846 42791 43371 42222 34211  3139 20856 42712 34649
 38369 28129]",,50,workclass,State-gov,0.16215034965034966,1.0
opt,"[26128  5681 43371  4702 14236  8943 41303 14112 42881 45217 35579 42636
 34875 47453 42712 29069  6261  5131 42222 20856 34211 33136 22351 24615
 15048 14846 19790 46984 35702 38369 34649  2445 16794 34406 20699  3139
 20328  5500 16171 11973 16158 32100 35261 42791 12613 43178 17758 28755
 46654 28129]","[8943, 29069, 34211, 26128, 5681, 43371, 4702, 14236, 41303, 14112, 42881, 45217, 35579, 42636, 34875, 47453, 42712, 6261, 5131, 42222, 20856, 33136, 22351, 24615, 15048, 14846, 19790, 46984, 35702, 38369, 34649, 2445, 16794, 34406, 20699, 3139, 20328, 5500, 16171, 11973, 16158, 32100, 35261, 42791, 12613, 43178, 17758, 28755, 46654, 28129]",,50,workclass,State-gov,1.8333333333333333,0.2
warmup,"[47453  2445  5131  4702 15048 16158 32100  3139 11973 20328 41303 17758
 35702 43371 42222 24615 20856 28755 20699 28129  5500 46654 34406 14846
 26128 16794  6261 34211 42712 14112 22351 42636 43178 33136 46984  8943
 35261 45217 19790 42791  5681 29069 42881 34649 16171 12613 14236 35579
 34875 38369]","[34211, 34211, 42712, 8943, 8943, 29069, 47453, 2445, 5131, 4702, 15048, 16158, 32100, 3139, 11973, 20328, 41303, 17758, 35702, 43371, 42222, 24615, 20856, 28755, 20699, 28129, 5500, 46654, 34406, 14846, 26128, 16794, 6261, 14112, 22351, 42636, 43178, 33136, 46984, 35261, 45217, 19790, 42791, 5681, 42881, 34649, 16171, 12613, 14236, 35579]",mistral:7b,50,workclass,State-gov,2.1166666666666667,0.7999999999999999
bigraph,"[43178 34875 20328  4702 45217 35261 28129 14112  5131 38369 24615 34649
  5681 15048 42791 43371 32100 33136 16171  5500 46984 47453  6261 14846
 29069  8943 34406 42222 35579 11973 34211 17758 16794 12613 46654 19790
 42636 41303 26128 14236 22351 16158 35702  3139 28755 20699 42712 20856
  2445 42881]","[29069, 8943, 34211, 34649, 16794, 43371, 42712, 42636, 4702, 43178, 34875, 20328, 45217, 35261, 28129, 14112, 5131, 38369, 24615, 5681, 15048, 42791, 32100, 33136, 16171, 5500, 46984, 47453, 6261, 14846, 34406, 42222, 35579, 11973, 17758, 12613, 46654, 19790, 41303, 26128, 14236, 22351, 16158, 35702, 3139, 28755, 20699, 20856, 2445, 42881]",mistral:7b,50,workclass,State-gov,1.8333333333333333,0.1
random,"[42746 14752  6390 29368 13490 28850 48766 28296  5133 47376 28824 44099
 10506 42679  5561 19580 47986 16797  8681  8594 12732 45679 34874 40855
 24838 38929 11705   164 40436  6637 24742 25822 48197 48073 40567 30478
 35686 10712 23431 33597 41544 22082 30874 20985 48656 34971 41030 45354
 25136  4188]","[42746 14752  6390 29368 13490 28850 48766 28296  5133 47376 28824 44099
 10506 42679  5561 19580 47986 16797  8681  8594 12732 45679 34874 40855
 24838 38929 11705   164 40436  6637 24742 25822 48197 48073 40567 30478
 35686 10712 23431 33597 41544 22082 30874 20985 48656 34971 41030 45354
 25136  4188]",,50,workclass,State-gov,0.369047619047619,0.0
opt,"[28850   164 24742 25136 33597 11705  5561 45354 47986  6637 24838 38929
  4188 29368 10506 16797 28824 28296 35686 19580 45679 22082 34874 12732
 34971 30478 40855  5133 47376  8681 40567 20985 41030 14752 48766 30874
 40436 48656  8594 25822 10712 13490 44099 48073 48197 42679  6390 41544
 23431 42746]","[164, 6390, 28850, 24742, 25136, 33597, 11705, 5561, 45354, 47986, 6637, 24838, 38929, 4188, 29368, 10506, 16797, 28824, 28296, 35686, 19580, 45679, 22082, 34874, 12732, 34971, 30478, 40855, 5133, 47376, 8681, 40567, 20985, 41030, 14752, 48766, 30874, 40436, 48656, 8594, 25822, 10712, 13490, 44099, 48073, 48197, 42679, 41544, 23431, 42746]",,50,workclass,State-gov,1.5,0.0
warmup,"[23431 16797 24742 41030 30478 40567 48766 28850 29368 10506 30874 45354
  4188 45679 38929  6637 40436 11705 47986 35686 40855 19580 24838   164
 28296  8594 41544 20985 12732 13490 47376 48073 10712 42746 44099 48197
 34971 48656 25822 25136  8681  5133  5561 28824 33597 34874  6390 22082
 42679 14752]","[164, 6390, 23431, 16797, 24742, 41030, 30478, 40567, 48766, 28850, 29368, 10506, 30874, 45354, 4188, 45679, 38929, 6637, 40436, 11705, 47986, 35686, 40855, 19580, 24838, 28296, 8594, 41544, 20985, 12732, 13490, 47376, 48073, 10712, 42746, 44099, 48197, 34971, 48656, 25822, 25136, 8681, 5133, 5561, 28824, 33597, 34874, 22082]",mistral:7b,50,workclass,State-gov,1.5,-0.4
bigraph,"[25822 47986 41544 45354 48656 23431 28850 12732 40436 45679 30874 10506
 24742 47376  4188 38929 28296 25136 41030  8681 11705 42746 35686 48197
 40855  5133   164 13490 33597 10712  6637 40567 14752 28824 48766 16797
  8594 19580 22082 29368 44099  6390 24838 20985  5561 48073 42679 34971
 34874 30478]","[164, 28850, 4188, 6637, 6390, 10506, 25822, 47986, 41544, 45354, 48656, 23431, 12732, 40436, 45679, 30874, 24742, 47376, 38929, 28296, 25136, 41030, 8681, 11705, 42746, 35686, 48197, 40855, 5133, 13490, 33597, 10712, 40567, 14752, 28824, 48766, 16797, 8594, 19580, 22082, 29368, 44099, 24838, 20985, 5561, 48073, 42679, 34971, 34874, 30478]",mistral:7b,50,workclass,State-gov,1.2,0.9
random,"[20093 27434  2961 30397 34827 43427 16037 34178 39687  6110 41313 23413
  4681 33597 20694  8327 17770 19719 43646  8087  2485 21354 24343  1362
 13272 11817 13460 36823 34858 44084 22023  2525 18504  6238 35881 12812
 46015  5926 39044 21837 36838 46470  6398 27407 46187 42191 20009 11216
 31861 43568]","[20093 27434  2961 30397 34827 43427 16037 34178 39687  6110 41313 23413
  4681 33597 20694  8327 17770 19719 43646  8087  2485 21354 24343  1362
 13272 11817 13460 36823 34858 44084 22023  2525 18504  6238 35881 12812
 46015  5926 39044 21837 36838 46470  6398 27407 46187 42191 20009 11216
 31861 43568]",,50,workclass,State-gov,1.0263157894736843,0.0
opt,"[30397  8087 34858 12812 35881 39687  2485 21354  1362 17770 46187 22023
 13460 39044 43568 21837  6398 20009  6110 34827  5926 36838 36823  8327
 24343 19719 33597  4681 41313 44084 31861  6238 11216 46470 18504 27434
 13272 46015 11817 43427  2961 23413  2525 34178 20093 16037 43646 42191
 27407 20694]","[5926, 20093, 30397, 8087, 34858, 12812, 35881, 39687, 2485, 21354, 1362, 17770, 46187, 22023, 13460, 39044, 43568, 21837, 6398, 20009, 6110, 34827, 36838, 36823, 8327, 24343, 19719, 33597, 4681, 41313, 44084, 31861, 6238, 11216, 46470, 18504, 27434, 13272, 46015, 11817, 43427, 2961, 23413, 2525, 34178, 16037, 43646, 42191, 27407, 20694]",,50,workclass,State-gov,1.5,0.0
warmup,"[ 1362  2525  4681 17770 18504  6398 42191 22023 43427 21837 33597  6110
 11216 39044  8087 34858 27434 34827  8327 27407 20093 46187 31861  2485
 43568 19719 46470 46015 39687  5926 43646 21354 35881 13272 13460 34178
  6238 16037 44084 30397 36838 20009 41313 11817 24343 23413 12812 20694
 36823  2961]","[20093, 20093, 5926, 5926, 1362, 2525, 4681, 17770, 18504, 6398, 42191, 22023, 43427, 21837, 33597, 6110, 11216, 39044, 8087, 34858, 27434, 34827, 8327, 27407, 46187, 31861, 2485, 43568, 19719, 46470, 46015, 39687, 43646, 21354, 35881, 13272, 13460, 34178, 6238, 16037, 44084, 30397, 36838, 20009, 41313, 11817, 24343, 23413, 12812, 20694]",mistral:7b,50,workclass,State-gov,2.083333333333333,0.4
bigraph,"[31861 19719  1362 12812  6110 20009 46470 11817 34858 27407  8087 20694
 34178 18504 35881 39687 46015 22023 24343 20093  4681  2961 11216 16037
 21354 33597 43568 13272 13460 42191  6238 21837 44084 30397  6398 36838
  2525 41313  2485 23413 36823 43427 39044 46187  8327 27434 43646 17770
 34827  5926]","[20093, 5926, 6110, 39687, 31861, 19719, 1362, 12812, 20009, 46470, 11817, 34858, 27407, 8087, 20694, 34178, 18504, 35881, 46015, 22023, 24343, 4681, 2961, 11216, 16037, 21354, 33597, 43568, 13272, 13460, 42191, 6238, 21837, 44084, 30397, 6398, 36838, 2525, 41313, 2485, 23413, 36823, 43427, 39044, 46187, 8327, 27434, 43646, 17770, 34827]",mistral:7b,50,workclass,State-gov,1.5,-0.1
random,"[ 4737 36230 48643  6704 16682 24923  2504 20484 12766 31595 37984 44131
   139 34248 43336 33516 11555 18646 38739 18896 29417 19383  6245  1735
 20786 29016 17172 48079  2285    61  7440 35588  5007 36843 34083 21184
 46166 37160 16802 42246  7023 10984  8226  7921 38488 47206 33472 13329
  4356 24892]","[ 4737 36230 48643  6704 16682 24923  2504 20484 12766 31595 37984 44131
   139 34248 43336 33516 11555 18646 38739 18896 29417 19383  6245  1735
 20786 29016 17172 48079  2285    61  7440 35588  5007 36843 34083 21184
 46166 37160 16802 42246  7023 10984  8226  7921 38488 47206 33472 13329
  4356 24892]",,50,workclass,State-gov,0.12679587964217945,1.0
opt,"[16802 12766  4356 35588 19383 48643 33516 46166 37160 13329 21184  2504
 17172 43336 34248 24892 36230 37984 48079 29417  4737 38739 36843 31595
 20786 42246 11555 38488 18646  8226    61 34083 18896 20484 44131  6245
  7440  6704 10984 16682 47206 29016 33472  7023  2285  7921 24923  1735
  5007   139]","[48079, 11555, 7440, 16802, 12766, 4356, 35588, 19383, 48643, 33516, 46166, 37160, 13329, 21184, 2504, 17172, 43336, 34248, 24892, 36230, 37984, 29417, 4737, 38739, 36843, 31595, 20786, 42246, 38488, 18646, 8226, 61, 34083, 18896, 20484, 44131, 6245, 6704, 10984, 16682, 47206, 29016, 33472, 7023, 2285, 7921, 24923, 1735, 5007, 139]",,50,workclass,State-gov,1.8333333333333333,0.0
warmup,"[13329 48643  4737  2504 18646  2285 12766 34083 36843 34248 43336 19383
  1735    61  6245 47206 18896 20786 35588 33472 16802 38488 36230  7921
 44131  7023 17172 16682   139 21184 24923 42246 29016 11555  5007 33516
 20484 38739 37984 24892 48079  7440 46166  8226 31595 10984 37160  4356
 29417  6704]","[11555, 11555, 48079, 7440, 13329, 48643, 4737, 2504, 18646, 2285, 12766, 34083, 36843, 34248, 43336, 19383, 1735, 61, 6245, 47206, 18896, 20786, 35588, 33472, 16802, 38488, 36230, 7921, 44131, 7023, 17172, 16682, 139, 21184, 24923, 42246, 29016, 5007, 33516, 20484, 38739, 37984, 24892, 46166, 8226, 31595, 10984, 37160, 4356]",mistral:7b,50,workclass,State-gov,2.083333333333333,-0.19999999999999998
bigraph,"[16682  5007 24923 36230 43336  6704 35588  2285 34083 13329  4737 21184
 48643 29417 18646 31595 37160 34248 38739 18896 44131 46166 11555 33516
 17172 20786 33472  6245 10984  4356 16802  1735 37984 42246 47206  8226
   139  7440 38488 12766  2504    61 19383  7921 20484  7023 24892 36843
 48079 29016]","[48079, 11555, 7023, 7440, 33472, 47206, 139, 31595, 20484, 36230, 16682, 5007, 24923, 43336, 6704, 35588, 2285, 34083, 13329, 4737, 21184, 48643, 29417, 18646, 37160, 34248, 38739, 18896, 44131, 46166, 33516, 17172, 20786, 6245, 10984, 4356, 16802, 1735, 37984, 42246, 8226, 38488, 12766, 2504, 61, 19383, 7921, 24892, 36843, 29016]",mistral:7b,50,workclass,State-gov,1.75,0.30000000000000004
random,"[35239 37936 24287  8053 21458 20792  2353 47144 10797 21788 20160 10887
 18290 40428 41981 11461  7195 37065 30253 10749 15096  3036 39385 44582
 34246 22921 25929 41689 16927 45090 24691 42160 25668 39855 33138 47468
 42580 30454 21492 40772 27093 41273 25519 37048 44447  7046 36719  1633
 38962 20729]","[35239 37936 24287  8053 21458 20792  2353 47144 10797 21788 20160 10887
 18290 40428 41981 11461  7195 37065 30253 10749 15096  3036 39385 44582
 34246 22921 25929 41689 16927 45090 24691 42160 25668 39855 33138 47468
 42580 30454 21492 40772 27093 41273 25519 37048 44447  7046 36719  1633
 38962 20729]",,50,workclass,State-gov,0.25,0.0
opt,"[21788 44447 39855 41273 37936 35239 20792 45090 24691  7046 27093 34246
 21458 20729 30454 21492  7195 41689 47468 39385 16927 10749 24287 40772
  2353  1633 47144 37048 38962 37065 30253 20160 40428 22921 25519 15096
 11461 10797 44582 25668 41981 42160 10887 42580 18290 36719 33138  3036
 25929  8053]","[8053, 21788, 44447, 39855, 41273, 37936, 35239, 20792, 45090, 24691, 7046, 27093, 34246, 21458, 20729, 30454, 21492, 7195, 41689, 47468, 39385, 16927, 10749, 24287, 40772, 2353, 1633, 47144, 37048, 38962, 37065, 30253, 20160, 40428, 22921, 25519, 15096, 11461, 10797, 44582, 25668, 41981, 42160, 10887, 42580, 18290, 36719, 33138, 3036, 25929]",,50,workclass,State-gov,1.0,0.0
warmup,"[37065  3036  7046 24287 27093 40428 37936 41273  2353  8053 39385 18290
 41981 10887 47468 30454 33138 44582 10749 10797 22921 34246 25668 42580
 15096 21458 44447 42160  7195 41689 30253 25519 45090 11461 20160 16927
 40772 47144  1633 25929 38962 35239 36719 20792 37048 39855 21492 21788
 24691 20729]","[8053, 37065, 3036, 7046, 24287, 27093, 40428, 37936, 41273, 2353, 39385, 18290, 41981, 10887, 47468, 30454, 33138, 44582, 10749, 10797, 22921, 34246, 25668, 42580, 15096, 21458, 44447, 42160, 7195, 41689, 30253, 25519, 45090, 11461, 20160, 16927, 40772, 47144, 1633, 25929, 38962, 35239, 36719, 20792, 37048, 39855, 21492, 21788]",mistral:7b,50,workclass,State-gov,1.0,-0.4
bigraph,"[21492 40428 11461 39855 30454 20792 33138 40772 37048  8053 38962 44447
 34246 41689  3036  7046 16927  1633 37936 47468 18290 42580 24287  7195
 10749 42160 15096 21458 45090 41981 39385 37065 22921 25929  2353 41273
 21788 25519 10887 20160 36719 27093 47144 20729 30253 10797 35239 24691
 44582 25668]","[38962, 8053, 37048, 21492, 40428, 11461, 39855, 30454, 20792, 33138, 40772, 44447, 34246, 41689, 3036, 7046, 16927, 1633, 37936, 47468, 18290, 42580, 24287, 7195, 10749, 42160, 15096, 21458, 45090, 41981, 39385, 37065, 22921, 25929, 2353, 41273, 21788, 25519, 10887, 20160, 36719, 27093, 47144, 20729, 30253, 10797, 35239, 24691, 44582, 25668]",mistral:7b,50,workclass,State-gov,0.5,-0.1
random,"[ 4144  6645 18194 13246 28445 48602  2987 46451 18707 36807 20476 48594
 39565 26141 35891 23633 32372 39711 31501 13949 13030 22600 20667 29495
   299 13039 27913 30290  5757  6105 22905 40067 24141 30638 37112  5452
 19072 40876 36464 13450 32619 38205 19497 18248 41301 36250 25357 45389
 17513 20832]","[ 4144  6645 18194 13246 28445 48602  2987 46451 18707 36807 20476 48594
 39565 26141 35891 23633 32372 39711 31501 13949 13030 22600 20667 29495
   299 13039 27913 30290  5757  6105 22905 40067 24141 30638 37112  5452
 19072 40876 36464 13450 32619 38205 19497 18248 41301 36250 25357 45389
 17513 20832]",,50,workclass,State-gov,0.18666666666666665,0.0
opt,"[36250   299 13030 38205 39711 36807 26141 35891 45389 18707 25357 22600
 36464 41301 20667 27913  6645 17513 40067 28445 48602 18194 30638 20476
  5757 48594 19497 29495 31501 13450 46451 22905 13246 32619 32372 30290
 39565 37112  5452  4144 19072 23633 24141 13949  6105 40876 13039 20832
 18248  2987]","[48602, 20832, 36250, 299, 13030, 38205, 39711, 36807, 26141, 35891, 45389, 18707, 25357, 22600, 36464, 41301, 20667, 27913, 6645, 17513, 40067, 28445, 18194, 30638, 20476, 5757, 48594, 19497, 29495, 31501, 13450, 46451, 22905, 13246, 32619, 32372, 30290, 39565, 37112, 5452, 4144, 19072, 23633, 24141, 13949, 6105, 40876, 13039, 18248, 2987]",,50,workclass,State-gov,1.5,0.0
warmup,"[19072 18248 30290 35891 24141 22905  6105 45389 38205 48602 26141 20667
 40067  6645  5757 29495 19497 13450 22600 32372 13030 32619  2987 13039
 30638 20832 39565 18194 31501 27913 13246   299 36250  4144 17513 36807
 36464 23633 40876 41301 48594 20476 25357 39711 28445  5452 37112 46451
 13949 18707]","[48602, 20832, 20832, 19072, 18248, 30290, 35891, 24141, 22905, 6105, 45389, 38205, 26141, 20667, 40067, 6645, 5757, 29495, 19497, 13450, 22600, 32372, 13030, 32619, 2987, 13039, 30638, 39565, 18194, 31501, 27913, 13246, 299, 36250, 4144, 17513, 36807, 36464, 23633, 40876, 41301, 48594, 20476, 25357, 39711, 28445, 5452, 37112, 46451]",mistral:7b,50,workclass,State-gov,1.8333333333333333,0.6
bigraph,"[32619 40876 18248  2987 25357 37112 41301 17513 39711 13039 19497  5452
  6645  5757 28445 23633 29495 32372 13030   299 22905 36807  6105 13450
 36250 26141 13949 13246 38205 20832 31501 19072 39565 48594 46451 20667
 18194 27913 36464 22600  4144 20476 30290 48602 40067 18707 45389 30638
 35891 24141]","[20832, 48602, 13949, 38205, 27913, 4144, 32619, 40876, 18248, 2987, 25357, 37112, 41301, 17513, 39711, 13039, 19497, 5452, 6645, 5757, 28445, 23633, 29495, 32372, 13030, 299, 22905, 36807, 6105, 13450, 36250, 26141, 13246, 31501, 19072, 39565, 48594, 46451, 20667, 18194, 36464, 22600, 20476, 30290, 40067, 18707, 45389, 30638, 35891, 24141]",mistral:7b,50,workclass,State-gov,1.5,-0.1
random,"[ 2696  8596 31940 28102 12902 21066   314 22393 47189 37968 17599 47423
 13436 29700 33170 30430 25756 14153 41199 13608 15396 26110 10124 30646
 39162 12435 13106 27412 11390 40575 42151 31576  4695 21785 16773 18566
 21097 32610 25892  5757 10794 30118 11748 31496 38855  8776 20980 24495
  3054 42550]","[ 2696  8596 31940 28102 12902 21066   314 22393 47189 37968 17599 47423
 13436 29700 33170 30430 25756 14153 41199 13608 15396 26110 10124 30646
 39162 12435 13106 27412 11390 40575 42151 31576  4695 21785 16773 18566
 21097 32610 25892  5757 10794 30118 11748 31496 38855  8776 20980 24495
  3054 42550]",,50,workclass,State-gov,1.1779461279461279,0.4
