algorithm,original,reordered,model,size,column,value
warmup,"[23162 44707  7691 11346 18857  5694 13932 10284 29979 34268 48500 14439
 48807 22319  6480  6642 25052 31015 19078 15941 21979 29689 42177 37861
 37012 30196 24925 45464 32378  7048 41543 44132 45596    37  5103 14949
 29470  6520 19425 18669 19268 26974 24445 38078 19845 23395 48097 11332
 33752 10926]","[23162, 18857, 18857, 29979, 25052, 31015, 19078, 15941, 29689, 37861, 32378, 7048, 41543, 44132, 19268, 19845, 44707, 7691, 11346, 5694, 13932, 10284, 34268, 48500, 14439, 48807, 22319, 6480, 6642, 21979, 42177, 37012, 30196, 24925, 45464, 45596, 37, 5103, 14949, 29470, 6520, 19425, 18669, 26974, 24445, 38078, 23395, 48097, 11332]",qwen2:7b,50,workclass,State-gov
bigraph,"[29979  6520 23395  7048 11332  5694 15941 21979 19078 10926 44707 37861
  6480 41543 45596 13932 42177 38078 26974 48500 19425 37012 25052 18669
 10284    37 29689 11346  5103 44132 29470 31015 48807 33752  7691 48097
 32378 14949 24925 34268 23162 18857 19845 30196 24445 45464 19268  6642
 14439 22319]","[13932, 29689, 19845, 23162, 5103, 45464, 24445, 14439, 11332, 15941, 7048, 29979, 11346, 14949, 31015, 38078, 19425, 45596, 44707, 18857, 33752, 6520, 48807, 48097, 42177, 44132, 37012, 7691, 30196, 41543, 29470, 19268, 19078, 10926, 24925, 6642, 10284, 6480, 25052, 5694, 34268, 26974, 22319, 23395, 21979, 37861, 48500, 18669, 37, 32378]",qwen2:7b,50,workclass,State-gov
random,"[ 4856 39694 23371 28229 28694  3442 20786 39712 24482  6453  9121 16078
 35427 47934 35856  1668  9588 25943 42177 30639 34618 10341  5716 22409
 16113 19037 43454  9892 34748 22159 11090 32231 15250 36989 29794 44126
 37233 28693 39286 44225 11561 45570  2728 12409 32332  8324  2127 22222
 25398 40141]","[ 4856 39694 23371 28229 28694  3442 20786 39712 24482  6453  9121 16078
 35427 47934 35856  1668  9588 25943 42177 30639 34618 10341  5716 22409
 16113 19037 43454  9892 34748 22159 11090 32231 15250 36989 29794 44126
 37233 28693 39286 44225 11561 45570  2728 12409 32332  8324  2127 22222
 25398 40141]",,50,workclass,State-gov
opt,"[19037  3442 28694 44126 35427 36989 15250  9892  8324 22159 11561 42177
 24482  6453 34618 20786 32231 39712  4856 29794  1668 44225 39694 32332
  9588 16113 28693 12409 16078 25398 45570 30639 35856 47934 28229 22409
 11090 25943 40141 10341 34748 22222 39286  9121 23371  2127  2728 37233
  5716 43454]","[29794, 37233, 19037, 3442, 28694, 44126, 35427, 36989, 15250, 9892, 8324, 22159, 11561, 42177, 24482, 6453, 34618, 20786, 32231, 39712, 4856, 1668, 44225, 39694, 32332, 9588, 16113, 28693, 12409, 16078, 25398, 45570, 30639, 35856, 47934, 28229, 22409, 11090, 25943, 40141, 10341, 34748, 22222, 39286, 9121, 23371, 2127, 2728, 5716, 43454]",,50,workclass,State-gov
warmup,"[24482  1668 39286 22409  2127 44126  9121 39694 16078 11090 25943 15250
 28694 25398 22159 45570 34748 47934 44225 11561 22222  9588 20786  3442
 37233  9892 28229 40141 32332 23371 39712 36989 29794 34618 19037 43454
 35427  8324  2728 32231 10341 28693  6453 16113  5716 12409 30639  4856
 42177 35856]","[44126, 34748, 37233, 37233, 32332, 23371, 39712, 36989, 28693, 6453, 16113, 5716, 24482, 1668, 39286, 22409, 2127, 9121, 39694, 16078, 11090, 25943, 15250, 28694, 25398, 22159, 45570, 47934, 44225, 11561, 22222, 9588, 20786, 3442, 9892, 28229, 40141, 29794, 34618, 19037, 43454, 35427, 8324, 2728, 32231, 10341, 12409, 30639, 4856]",qwen2:7b,50,workclass,State-gov
bigraph,"[39712 34618 25398 28694 11090  8324 22409  4856 36989  9892 19037 43454
  3442  9588 11561  5716 23371 24482 15250 39286  2728 34748 32332 16113
  6453 42177 44225 40141 35427 25943 45570 16078 32231 22222  1668 10341
 28229  2127 28693 12409 29794 47934 22159 37233 35856 30639 39694 20786
  9121 44126]","[39712, 9892, 3442, 37233, 23371, 34618, 34748, 35427, 30639, 32231, 40141, 35856, 9588, 32332, 6453, 29794, 43454, 44225, 15250, 16078, 28694, 19037, 2127, 39286, 22159, 4856, 20786, 28229, 25398, 10341, 9121, 36989, 12409, 2728, 45570, 11561, 47934, 42177, 28693, 22409, 11090, 8324, 5716, 24482, 16113, 25943, 22222, 1668, 39694, 44126]",qwen2:7b,50,workclass,State-gov
random,"[36013  3922 37727 13824 17216 17725  9794 30812 33032 19969  8274 36392
 32677 45716 35832 13198 17420 28484 17947 29281 11418 11368 17945   717
  6438 27597 11176 11068  2233 34418 15586  2992 26564 47528  6858 23866
 34194 19685  8188 21283 34361 16759 38377 16734  6624 38973 40912 29664
 27517 31138]","[36013  3922 37727 13824 17216 17725  9794 30812 33032 19969  8274 36392
 32677 45716 35832 13198 17420 28484 17947 29281 11418 11368 17945   717
  6438 27597 11176 11068  2233 34418 15586  2992 26564 47528  6858 23866
 34194 19685  8188 21283 34361 16759 38377 16734  6624 38973 40912 29664
 27517 31138]",,50,workclass,State-gov
opt,"[ 8188 40912 33032 28484  6858 36013 16734 31138 17945  2992 17216 11068
 35832 19969   717 11368 34361 38973 21283 13198  6624  3922 30812 19685
  9794 34194 13824 36392 11176  8274 26564 27597 34418 27517 32677 17725
 16759 23866 38377 17420  6438 17947 37727 29664 11418  2233 47528 29281
 45716 15586]","[40912, 8188, 33032, 28484, 6858, 36013, 16734, 31138, 17945, 2992, 17216, 11068, 35832, 19969, 717, 11368, 34361, 38973, 21283, 13198, 6624, 3922, 30812, 19685, 9794, 34194, 13824, 36392, 11176, 8274, 26564, 27597, 34418, 27517, 32677, 17725, 16759, 23866, 38377, 17420, 6438, 17947, 37727, 29664, 11418, 2233, 47528, 29281, 45716, 15586]",,50,workclass,State-gov
warmup,"[32677 17947 28484  6438 15586  9794  3922 30812 11418 17725 23866 16759
 27597  2992  8188 34418 26564  8274 13824 35832 40912 38973 37727 13198
 36013 16734 31138 19685  6624 19969 29664 45716  2233 17216 21283 11368
   717 29281 17945 17420 27517 38377 36392 34361  6858 47528 11176 34194
 33032 11068]","[15586, 9794, 3922, 30812, 38973, 40912, 37727, 40912, 2233, 29281, 17945, 38377, 38377, 32677, 17947, 28484, 6438, 11418, 17725, 23866, 16759, 27597, 2992, 8188, 34418, 26564, 8274, 13824, 35832, 13198, 36013, 16734, 31138, 19685, 6624, 19969, 29664, 45716, 17216, 21283, 11368, 717, 17420, 27517, 36392, 34361, 6858, 47528, 11176, 34194]",qwen2:7b,50,workclass,State-gov
bigraph,"[28484  2233  8188 38973 15586 11418 27517 45716  6624 36392 29664 34194
  6438 17725 38377 47528 26564 30812 21283 16734 40912 19685  2992 11176
 32677 33032 19969   717  9794 13198 17947 34418 29281 37727 11068 17420
 36013  3922 17216 31138 35832  6858 11368 34361 13824 16759  8274 17945
 27597 23866]","[8188, 6858, 9794, 19969, 29664, 34361, 38973, 37727, 717, 15586, 6624, 16734, 34418, 17216, 40912, 13198, 11418, 23866, 27597, 17420, 3922, 21283, 38377, 30812, 17725, 31138, 2233, 47528, 35832, 11368, 32677, 45716, 34194, 17945, 8274, 27517, 6438, 28484, 11176, 11068, 29281, 16759, 36392, 26564, 19685, 2992, 33032, 17947, 36013, 13824]",qwen2:7b,50,workclass,State-gov
random,"[11643  5360  5973 43589  9037 31721 14910 39310  2124 41613 12534  7537
 11355 24048 20238 30741 17339 14303 15458 11028 22897 35449 26060 24258
 32098 38655 30846 10658 32391 29013  4008 22224 41064 32085  5354 27488
 19987 48206 13266 11520 16628 15894 14487 38994  6031 11583  8682  2352
 31245 39465]","[11643  5360  5973 43589  9037 31721 14910 39310  2124 41613 12534  7537
 11355 24048 20238 30741 17339 14303 15458 11028 22897 35449 26060 24258
 32098 38655 30846 10658 32391 29013  4008 22224 41064 32085  5354 27488
 19987 48206 13266 11520 16628 15894 14487 38994  6031 11583  8682  2352
 31245 39465]",,50,workclass,State-gov
opt,"[16628 14910  6031 35449 29013  5360 11520 31721 11583  8682 15894 11028
 32085 30741 14487 13266 22897 24258 41064 39310 27488 15458  9037 38655
 24048 31245 10658  2352 38994  7537  4008 12534 17339 20238 43589 30846
 39465 19987 48206  5973 26060 11355 22224 11643 14303 41613  5354 32391
  2124 32098]","[5354, 16628, 14910, 6031, 35449, 29013, 5360, 11520, 31721, 11583, 8682, 15894, 11028, 32085, 30741, 14487, 13266, 22897, 24258, 41064, 39310, 27488, 15458, 9037, 38655, 24048, 31245, 10658, 2352, 38994, 7537, 4008, 12534, 17339, 20238, 43589, 30846, 39465, 19987, 48206, 5973, 26060, 11355, 22224, 11643, 14303, 41613, 32391, 2124, 32098]",,50,workclass,State-gov
warmup,"[13266  5973 11643 31245 11520 15458 15894 11583 24258  9037  2124 32098
 32391 14487 17339  5354 22224  2352 29013  5360 14303 22897 20238 30741
  4008 26060 10658  8682 24048  7537 39465 11028 41064 31721 12534 30846
 39310 38994 14910 43589 41613  6031 16628 19987 27488 11355 32085 48206
 38655 35449]","[14303, 4008, 31721, 31721, 41064, 39310, 38994, 14910, 43589, 13266, 5973, 11643, 31245, 11520, 15458, 15894, 11583, 24258, 9037, 2124, 32098, 32391, 14487, 17339, 5354, 22224, 2352, 29013, 5360, 22897, 20238, 30741, 26060, 10658, 8682, 24048, 7537, 39465, 11028, 12534, 30846, 41613, 6031, 16628, 19987, 27488, 11355, 32085, 48206]",qwen2:7b,50,workclass,State-gov
bigraph,"[32085  2352  5354 16628 30741 19987 17339 31245 41064 20238 38655  8682
 27488 11355 30846 15458 43589 35449 41613 29013 14303 24048 32098 14487
 11028 24258  5973 11643 22224  2124 48206 12534 38994  7537 10658  6031
  5360 39310 14910  9037 32391 22897 11583 26060 15894 31721 39465  4008
 13266 11520]","[5354, 41613, 32085, 38994, 4008, 2352, 11643, 27488, 15458, 38655, 30846, 10658, 15894, 30741, 39310, 9037, 12534, 14303, 11028, 31721, 32098, 14487, 35449, 20238, 26060, 22897, 17339, 5973, 29013, 41064, 31245, 32391, 22224, 11583, 24258, 24048, 2124, 11355, 14910, 11520, 39465, 16628, 19987, 8682, 43589, 48206, 7537, 6031, 5360, 13266]",qwen2:7b,50,workclass,State-gov
random,"[27487 40921  9180 27308   208 46930  5880 23055 18842 28765 41955 47800
 47431 29304  3902 20199 48235 22975 32472 10217 14401 30314 46286 47834
 21729  8822 30969  5701 12577  4555 16023 38464 13712 30541 32503 15055
  8422 18779  5651 17909  5382 37970 41423 48494 15519 45907 45135  1916
 22589 48737]","[27487 40921  9180 27308   208 46930  5880 23055 18842 28765 41955 47800
 47431 29304  3902 20199 48235 22975 32472 10217 14401 30314 46286 47834
 21729  8822 30969  5701 12577  4555 16023 38464 13712 30541 32503 15055
  8422 18779  5651 17909  5382 37970 41423 48494 15519 45907 45135  1916
 22589 48737]",,50,workclass,State-gov
opt,"[37970 40921 14401 48235 18842 47800  1916 41423 15519 27487 41955  8822
  3902 20199 23055 45135 17909 29304 32503  5382  4555 21729  5701 48737
 38464 16023   208  8422 46930 47834  9180 10217 12577 30314 46286 47431
 27308  5880 22589 18779 30969 45907 15055 30541 13712  5651 32472 22975
 48494 28765]","[47834, 12577, 28765, 37970, 40921, 14401, 48235, 18842, 47800, 1916, 41423, 15519, 27487, 41955, 8822, 3902, 20199, 23055, 45135, 17909, 29304, 32503, 5382, 4555, 21729, 5701, 48737, 38464, 16023, 208, 8422, 46930, 9180, 10217, 30314, 46286, 47431, 27308, 5880, 22589, 18779, 30969, 45907, 15055, 30541, 13712, 5651, 32472, 22975, 48494]",,50,workclass,State-gov
